                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.95853,                 1.5575,                0.82889,                0.40184,                0.67507,                0.51514,                0.38818,                0.85457,                 1.5451,                0.85133,             0.00059163,             0.00059163,             0.00059163
                     36,                0.89929,                  1.418,                0.81253,                0.36933,                0.67379,                0.50679,                0.36916,                0.80086,                 1.6572,                0.84784,             0.00057925,             0.00057925,             0.00057925
                     37,                0.91258,                 1.4093,                0.83414,                0.41863,                0.55296,                 0.5384,                0.39735,                0.82016,                 1.5357,                0.84717,             0.00056687,             0.00056687,             0.00056687
                     38,                0.85193,                 1.4056,                0.78398,                0.47537,                 0.5567,                0.55311,                0.43221,                 0.8547,                 1.8089,                0.84559,              0.0005545,              0.0005545,              0.0005545
                     39,                  0.996,                 1.4676,                0.80896,                0.37224,                0.50902,                0.54469,                0.39619,                0.85481,                 1.8244,                0.85123,             0.00054212,             0.00054212,             0.00054212
                     40,                 0.9497,                 1.3422,                0.79594,                0.34527,                0.77241,                 0.5219,                0.38143,                0.88647,                 1.6016,                0.85776,             0.00052975,             0.00052975,             0.00052975
                     41,                0.92434,                   1.31,                0.74597,                0.38913,                0.70498,                0.52497,                0.37599,                0.83886,                 1.6326,                0.84777,             0.00051737,             0.00051737,             0.00051737
                     42,                0.90989,                 1.1328,                0.82933,                0.59431,                 0.4887,                 0.6089,                0.43632,                0.91794,                  1.404,                0.85735,               0.000505,               0.000505,               0.000505
                     43,                0.93169,                 1.3267,                0.81069,                0.57966,                0.56859,                0.63023,                0.45464,                0.94473,                  1.392,                0.85911,             0.00049263,             0.00049263,             0.00049263
                     44,                0.97078,                  1.169,                0.81689,                0.50288,                0.52128,                0.59759,                0.44434,                0.89039,                 1.4333,                0.84935,             0.00048025,             0.00048025,             0.00048025
                     45,                 0.8896,                 1.0103,                0.83005,                0.45156,                 0.6343,                0.59175,                0.43178,                0.85935,                 1.5299,                0.83825,             0.00046788,             0.00046788,             0.00046788
                     46,                0.83419,                 1.0828,                0.77068,                0.45929,                0.62029,                0.58374,                0.43759,                0.79718,                 1.4139,                0.83324,              0.0004555,              0.0004555,              0.0004555
                     47,                0.83921,                 1.0862,                0.80718,                 0.6005,                 0.5505,                0.65875,                0.49116,                0.79284,                 1.4324,                0.83104,             0.00044312,             0.00044312,             0.00044312
                     48,                  0.841,                 1.0576,                0.81459,                0.48111,                0.68447,                0.66324,                0.49203,                0.89531,                 1.3206,                0.84498,             0.00043075,             0.00043075,             0.00043075
                     49,                0.90922,                  1.139,                0.81313,                0.53262,                0.62025,                0.68172,                0.51552,                 0.8329,                 1.3022,                0.83479,             0.00041838,             0.00041838,             0.00041838
                     50,                0.85236,                 1.0551,                 0.7611,                0.70205,                0.60931,                 0.7062,                0.54721,                0.80143,                 1.1475,                0.83338,               0.000406,               0.000406,               0.000406
                     51,                 0.8442,                 1.0082,                0.77838,                0.43761,                0.60294,                0.64087,                0.48838,                0.85816,                 1.6639,                0.83994,             0.00039362,             0.00039362,             0.00039362
                     52,                0.81682,                 1.0094,                0.79085,                0.49951,                0.61772,                0.66436,                0.50224,                0.80447,                 1.3621,                0.82997,             0.00038125,             0.00038125,             0.00038125
                     53,                0.75664,                0.90844,                0.79231,                0.49009,                0.54176,                0.65464,                0.49749,                 0.7917,                  1.581,                 0.8268,             0.00036888,             0.00036888,             0.00036888
                     54,                0.84817,                 1.0308,                0.80528,                0.42348,                0.68342,                0.61539,                 0.4692,                0.83829,                 1.4943,                0.83612,              0.0003565,              0.0003565,              0.0003565
                     55,                0.77918,                0.90867,                0.77437,                 0.4696,                0.70322,                0.65812,                 0.4829,                0.83249,                 1.4723,                0.83161,             0.00034413,             0.00034413,             0.00034413
                     56,                0.84801,                 1.0425,                0.76112,                0.46563,                0.74102,                0.64026,                0.47319,                0.78474,                 1.3935,                0.82784,             0.00033175,             0.00033175,             0.00033175
                     57,                0.80428,                0.88698,                0.78739,                0.70777,                0.64459,                0.72785,                0.55052,                0.81178,                 1.1944,                0.83924,             0.00031938,             0.00031938,             0.00031938
                     58,                0.76112,                0.89545,                0.77361,                0.62769,                0.69371,                0.71525,                0.54444,                0.78521,                 1.2368,                 0.8321,               0.000307,               0.000307,               0.000307
                     59,                0.89461,                0.98793,                0.77529,                0.45383,                0.65245,                0.65472,                0.50499,                0.78928,                 1.3038,                0.83186,             0.00029462,             0.00029462,             0.00029462
                     60,                0.79207,                 1.0021,                0.77749,                0.52226,                0.63558,                0.66204,                0.49581,                0.85046,                 1.3454,                0.83977,             0.00028225,             0.00028225,             0.00028225
                     61,                0.77809,                0.78532,                0.79048,                0.52496,                0.77732,                0.71125,                0.54369,                0.79105,                 1.3788,                0.83482,             0.00026987,             0.00026987,             0.00026987
                     62,                0.82875,                0.84354,                0.78484,                0.66869,                0.69527,                0.73999,                0.56137,                 0.7823,                 1.3107,                0.82842,              0.0002575,              0.0002575,              0.0002575
                     63,                0.82658,                0.90684,                0.77948,                0.58793,                0.87232,                0.79054,                0.60139,                0.76855,                 1.0513,                0.82813,             0.00024513,             0.00024513,             0.00024513
                     64,                0.85367,                0.85834,                 0.8017,                 0.5328,                 0.8125,                0.76301,                0.57346,                0.78074,                 1.0917,                0.83444,             0.00023275,             0.00023275,             0.00023275
                     65,                0.77402,                0.81138,                0.79424,                0.69121,                0.71811,                0.72933,                 0.5544,                0.76357,                  1.397,                0.82875,             0.00022038,             0.00022038,             0.00022038
                     66,                0.81441,                0.73332,                0.81379,                0.81884,                0.74202,                0.78437,                0.60441,                0.79008,                 1.3388,                0.82934,               0.000208,               0.000208,               0.000208
                     67,                 0.7083,                0.77588,                0.78882,                0.77603,                0.65846,                0.77116,                0.60358,                0.74402,                 1.1941,                0.82583,             0.00019562,             0.00019562,             0.00019562
                     68,                0.73791,                 0.7264,                0.80371,                0.74088,                0.58213,                0.76079,                0.59705,                0.75233,                 1.1647,                0.82545,             0.00018325,             0.00018325,             0.00018325
                     69,                0.69279,                0.69608,                0.78299,                0.65467,                0.80567,                 0.7653,                0.58984,                0.77371,                  1.213,                0.82794,             0.00017087,             0.00017087,             0.00017087
                     70,                0.81079,                0.81824,                0.78773,                0.68596,                0.76327,                0.76675,                0.58875,                0.80585,                 1.2296,                0.83151,              0.0001585,              0.0001585,              0.0001585
                     71,                0.75468,                0.84019,                0.73384,                 0.7778,                0.66296,                0.82801,                0.63104,                0.80564,                 1.3086,                0.83044,             0.00014612,             0.00014612,             0.00014612
                     72,                0.75512,                0.79762,                0.72607,                 0.7822,                0.63891,                0.74713,                0.58314,                 0.7854,                 1.2899,                0.82653,             0.00013375,             0.00013375,             0.00013375
                     73,                0.65968,                0.77883,                0.68273,                0.68611,                 0.7634,                0.73789,                0.57493,                0.79052,                 1.2398,                0.82873,             0.00012138,             0.00012138,             0.00012138
                     74,                0.76332,                0.76425,                0.75038,                0.71871,                0.74752,                0.74632,                0.58829,                 0.7655,                 1.1709,                0.82387,               0.000109,               0.000109,               0.000109
                     75,                0.65155,                0.68178,                0.72063,                0.79716,                0.75727,                0.81212,                0.64799,                0.77219,                 1.1914,                0.82293,             9.6625e-05,             9.6625e-05,             9.6625e-05
                     76,                0.75528,                0.84666,                  0.776,                0.80762,                0.74334,                0.81486,                0.64204,                0.77666,                 1.2375,                0.82504,              8.425e-05,              8.425e-05,              8.425e-05
                     77,                0.70775,                 0.7894,                0.72267,                0.79437,                 0.7735,                0.83656,                 0.6618,                0.78262,                 1.1749,                0.82826,             7.1875e-05,             7.1875e-05,             7.1875e-05
                     78,                 0.6873,                0.72965,                0.73533,                0.79882,                0.75637,                0.83746,                0.65583,                 0.7788,                 1.1259,                0.82795,               5.95e-05,               5.95e-05,               5.95e-05
                     79,                0.74516,                0.76243,                0.75858,                0.76776,                0.77957,                0.82873,                0.64844,                0.77067,                 1.1612,                0.82521,             4.7125e-05,             4.7125e-05,             4.7125e-05
                     80,                 0.6719,                0.73779,                0.71315,                0.77619,                0.77876,                0.82244,                0.65442,                0.76373,                 1.1387,                0.82611,              3.475e-05,              3.475e-05,              3.475e-05
